split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.5,0.5,0.39,18,22,445,1844,0.45,0.038876889848812095,0.07157057654075547,0.16
val,0.5,0.5,0.4,6,1,209,742,0.8571428571428571,0.027906976744186046,0.05405405405405405,0.1
test,0.5,0.5,0.4,15,22,448,1844,0.40540540540540543,0.032397408207343416,0.060000000000000005,0.12
val,0.5,0.5,0.41,4,1,211,742,0.8,0.018604651162790697,0.03636363636363637,0.075
test,0.5,0.5,0.41,12,17,451,1849,0.41379310344827586,0.02591792656587473,0.04878048780487805,0.1
val,0.5,0.5,0.42,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.5,0.5,0.42,12,16,451,1850,0.42857142857142855,0.02591792656587473,0.048879837067209775,0.1
val,0.5,0.5,0.43,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.5,0.5,0.43,9,14,454,1852,0.391304347826087,0.019438444924406047,0.037037037037037035,0.08
val,0.5,0.5,0.44,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.5,0.5,0.44,6,3,457,1863,0.6666666666666666,0.012958963282937365,0.02542372881355932,0.06
val,0.5,0.5,0.45,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.5,0.5,0.45,5,3,458,1863,0.625,0.01079913606911447,0.021231422505307858,0.06
val,0.5,0.5,0.46,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.5,0.5,0.46,3,1,460,1865,0.75,0.0064794816414686825,0.01284796573875803,0.06
val,0.5,0.5,0.47,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.5,0.5,0.47,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.5,0.5,0.48,2,0,213,743,1.0,0.009302325581395349,0.018433179723502304,0.05
test,0.5,0.5,0.48,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.5,0.5,0.49,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.49,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.5,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.5,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.51,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.51,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.52,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.52,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.53,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.53,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.54,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.54,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.55,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.55,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.56,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.56,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.57,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.57,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.58,0,0,215,743,0.0,0.0,0.0,0.0
