split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.3,0.7,0.55,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.3,0.7,0.56,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.56,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.57,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.57,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.58,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.58,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.59,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.59,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.6,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.6,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.61,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.3,0.7,0.61,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.3,0.7,0.62,1,0,214,743,1.0,0.004651162790697674,0.009259259259259259,0.025
test,0.3,0.7,0.62,0,1,463,1865,0.0,0.0,0.0,0.0
val,0.3,0.7,0.63,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.63,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.64,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.64,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.65,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.65,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.66,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.66,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.67,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.67,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.68,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.68,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.69,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.69,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.3,0.7,0.7,0,0,215,743,0.0,0.0,0.0,0.0
test,0.3,0.7,0.7,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.2,133,94,82,649,0.5859030837004405,0.6186046511627907,0.6018099547511313,0.575
test,0.6,0.4,0.2,299,294,164,1572,0.5042158516020236,0.6457883369330454,0.5662878787878789,0.46
val,0.6,0.4,0.21,130,92,85,651,0.5855855855855856,0.6046511627906976,0.5949656750572083,0.525
test,0.6,0.4,0.21,296,289,167,1577,0.505982905982906,0.6393088552915767,0.5648854961832062,0.46
val,0.6,0.4,0.22,130,87,85,656,0.5990783410138248,0.6046511627906976,0.6018518518518517,0.525
test,0.6,0.4,0.22,293,279,170,1587,0.5122377622377622,0.6328293736501079,0.566183574879227,0.46
val,0.6,0.4,0.23,129,86,86,657,0.6,0.6,0.6,0.525
test,0.6,0.4,0.23,288,274,175,1592,0.5124555160142349,0.6220302375809935,0.5619512195121952,0.46
val,0.6,0.4,0.24,126,82,89,661,0.6057692307692307,0.586046511627907,0.5957446808510639,0.525
test,0.6,0.4,0.24,280,261,183,1605,0.5175600739371534,0.6047516198704104,0.5577689243027889,0.44
val,0.6,0.4,0.25,125,82,90,661,0.6038647342995169,0.5813953488372093,0.5924170616113743,0.525
test,0.6,0.4,0.25,279,254,184,1612,0.5234521575984991,0.6025917926565875,0.5602409638554217,0.44
val,0.6,0.4,0.26,123,79,92,664,0.6089108910891089,0.5720930232558139,0.5899280575539568,0.525
test,0.6,0.4,0.26,272,241,191,1625,0.530214424951267,0.5874730021598272,0.5573770491803279,0.44
val,0.6,0.4,0.27,116,74,99,669,0.6105263157894737,0.5395348837209303,0.5728395061728395,0.5
test,0.6,0.4,0.27,262,227,201,1639,0.5357873210633947,0.5658747300215983,0.5504201680672269,0.4
val,0.6,0.4,0.28,112,69,103,674,0.6187845303867403,0.5209302325581395,0.5656565656565656,0.475
test,0.6,0.4,0.28,254,214,209,1652,0.5427350427350427,0.5485961123110151,0.5456498388829215,0.36
val,0.6,0.4,0.29,105,64,110,679,0.621301775147929,0.4883720930232558,0.546875,0.475
test,0.6,0.4,0.29,244,199,219,1667,0.5507900677200903,0.5269978401727862,0.5386313465783664,0.32
val,0.6,0.4,0.3,100,56,115,687,0.6410256410256411,0.46511627906976744,0.5390835579514826,0.475
test,0.6,0.4,0.3,235,183,228,1683,0.562200956937799,0.5075593952483801,0.5334846765039727,0.32
val,0.6,0.4,0.31,94,55,121,688,0.6308724832214765,0.4372093023255814,0.5164835164835165,0.425
test,0.6,0.4,0.31,225,172,238,1694,0.5667506297229219,0.48596112311015116,0.5232558139534883,0.3
val,0.6,0.4,0.32,91,54,124,689,0.6275862068965518,0.4232558139534884,0.5055555555555555,0.375
test,0.6,0.4,0.32,221,166,242,1700,0.5710594315245479,0.4773218142548596,0.52,0.28
val,0.6,0.4,0.33,90,51,125,692,0.6382978723404256,0.4186046511627907,0.5056179775280899,0.375
test,0.6,0.4,0.33,221,162,242,1704,0.577023498694517,0.4773218142548596,0.5224586288416077,0.28
val,0.6,0.4,0.34,84,41,131,702,0.672,0.39069767441860465,0.4941176470588235,0.3
test,0.6,0.4,0.34,210,147,253,1719,0.5882352941176471,0.4535637149028078,0.5121951219512196,0.28
val,0.6,0.4,0.35,74,31,141,712,0.7047619047619048,0.34418604651162793,0.4625000000000001,0.275
test,0.6,0.4,0.35,200,127,263,1739,0.6116207951070336,0.4319654427645788,0.5063291139240506,0.28
val,0.6,0.4,0.36,72,29,143,714,0.7128712871287128,0.33488372093023255,0.4556962025316455,0.25
test,0.6,0.4,0.36,194,123,269,1743,0.61198738170347,0.4190064794816415,0.49743589743589745,0.26
val,0.6,0.4,0.37,61,23,154,720,0.7261904761904762,0.2837209302325581,0.40802675585284276,0.15
test,0.6,0.4,0.37,179,105,284,1761,0.6302816901408451,0.38660907127429806,0.47925033467202144,0.24
val,0.6,0.4,0.38,50,18,165,725,0.7352941176470589,0.23255813953488372,0.35335689045936397,0.1
test,0.6,0.4,0.38,165,91,298,1775,0.64453125,0.3563714902807775,0.45897079276773295,0.22
val,0.6,0.4,0.39,49,14,166,729,0.7777777777777778,0.22790697674418606,0.3525179856115108,0.1
test,0.6,0.4,0.39,164,89,299,1777,0.6482213438735178,0.3542116630669546,0.45810055865921784,0.22
val,0.6,0.4,0.4,40,13,175,730,0.7547169811320755,0.18604651162790697,0.2985074626865672,0.1
test,0.6,0.4,0.4,155,81,308,1785,0.6567796610169492,0.3347732181425486,0.4434907010014306,0.2
val,0.6,0.4,0.41,19,3,196,740,0.8636363636363636,0.08837209302325581,0.16033755274261605,0.05
test,0.6,0.4,0.41,97,46,366,1820,0.6783216783216783,0.20950323974082075,0.3201320132013202,0.12
val,0.6,0.4,0.42,4,0,211,743,1.0,0.018604651162790697,0.03652968036529681,0.0
test,0.6,0.4,0.42,43,17,420,1849,0.7166666666666667,0.09287257019438445,0.1644359464627151,0.1
val,0.6,0.4,0.43,2,0,213,743,1.0,0.009302325581395349,0.018433179723502304,0.0
test,0.6,0.4,0.43,11,11,452,1855,0.5,0.023758099352051837,0.04536082474226804,0.08
val,0.6,0.4,0.44,1,0,214,743,1.0,0.004651162790697674,0.009259259259259259,0.0
test,0.6,0.4,0.44,9,11,454,1855,0.45,0.019438444924406047,0.03726708074534161,0.06
val,0.6,0.4,0.45,1,0,214,743,1.0,0.004651162790697674,0.009259259259259259,0.0
test,0.6,0.4,0.45,5,4,458,1862,0.5555555555555556,0.01079913606911447,0.021186440677966104,0.02
val,0.6,0.4,0.46,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.46,3,2,460,1864,0.6,0.0064794816414686825,0.01282051282051282,0.02
val,0.6,0.4,0.47,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.47,2,2,461,1864,0.5,0.004319654427645789,0.008565310492505354,0.02
val,0.6,0.4,0.48,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.48,1,0,462,1866,1.0,0.0021598272138228943,0.004310344827586208,0.02
val,0.6,0.4,0.49,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.49,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.5,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.5,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.51,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.51,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.52,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.52,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.53,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.53,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.54,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.54,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.55,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.55,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.56,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.56,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.57,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.57,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.58,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.58,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.59,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.59,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.6,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.6,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.61,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.61,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.62,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.62,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.63,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.63,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.64,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.64,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.65,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.65,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.66,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.66,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.67,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.67,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.68,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.68,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.69,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.69,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.6,0.4,0.7,0,0,215,743,0.0,0.0,0.0,0.0
test,0.6,0.4,0.7,0,0,463,1866,0.0,0.0,0.0,0.0
