variant,test_set,n,weighted_f1,macro_f1,frust_recall,loss
no-synth,meld_test,2329,0.09329575985214351,0.10902791605740762,0.66,1.7711917406892124
no-synth,cremad_test,476,0.36532035642830296,0.22679864245761056,0.0,1.3590421040852865
no-synth,synth_test,924,0.14839488585983532,0.15513453249540454,0.1568627450980392,1.8017175608667835
with-synth,meld_test,2329,0.4532445386218525,0.27839442657013425,0.14,1.30977823962904
with-synth,cremad_test,476,0.5366252247048627,0.39015906499933073,0.0,1.0770280202229818
with-synth,synth_test,924,0.28426174258125103,0.2629129885646015,0.9901960784313726,1.5128581606108567
