split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.5,0.5,0.32,236,182,227,1684,0.5645933014354066,0.509719222462203,0.5357548240635641,0.38
val,0.5,0.5,0.34,94,52,121,691,0.6438356164383562,0.4372093023255814,0.520775623268698,0.425
test,0.5,0.5,0.34,226,167,237,1699,0.5750636132315522,0.48812095032397407,0.52803738317757,0.36
val,0.5,0.5,0.36,93,49,122,694,0.6549295774647887,0.4325581395348837,0.5210084033613446,0.4
test,0.5,0.5,0.36,216,157,247,1709,0.579088471849866,0.46652267818574517,0.5167464114832537,0.32
val,0.5,0.5,0.38,87,45,128,698,0.6590909090909091,0.4046511627906977,0.5014409221902016,0.35
test,0.5,0.5,0.38,207,141,256,1725,0.5948275862068966,0.4470842332613391,0.5104808877928483,0.3
val,0.5,0.5,0.4,82,44,133,699,0.6507936507936508,0.3813953488372093,0.4809384164222874,0.325
test,0.5,0.5,0.4,199,130,264,1736,0.6048632218844985,0.4298056155507559,0.5025252525252525,0.3
val,0.55,0.45,0.1,147,134,68,609,0.5231316725978647,0.6837209302325581,0.5927419354838709,0.675
test,0.55,0.45,0.1,325,442,138,1424,0.423728813559322,0.7019438444924406,0.5284552845528455,0.54
val,0.55,0.45,0.12,138,118,77,625,0.5390625,0.641860465116279,0.5859872611464968,0.65
test,0.55,0.45,0.12,318,396,145,1470,0.44537815126050423,0.6868250539956804,0.54035683942226,0.54
val,0.55,0.45,0.14,131,111,84,632,0.5413223140495868,0.6093023255813953,0.5733041575492341,0.6
test,0.55,0.45,0.14,309,364,154,1502,0.4591381872213967,0.6673866090712743,0.5440140845070423,0.52
val,0.55,0.45,0.16,127,99,88,644,0.5619469026548672,0.5906976744186047,0.5759637188208616,0.6
test,0.55,0.45,0.16,300,339,163,1527,0.4694835680751174,0.6479481641468683,0.544464609800363,0.5
val,0.55,0.45,0.18,123,94,92,649,0.5668202764976958,0.5720930232558139,0.5694444444444444,0.575
test,0.55,0.45,0.18,292,322,171,1544,0.4755700325732899,0.6306695464362851,0.5422469823584031,0.48
val,0.55,0.45,0.2,117,85,98,658,0.5792079207920792,0.5441860465116279,0.5611510791366907,0.55
test,0.55,0.45,0.2,281,300,182,1566,0.4836488812392427,0.6069114470842333,0.5383141762452107,0.46
val,0.55,0.45,0.22,114,79,101,664,0.5906735751295337,0.5302325581395348,0.5588235294117647,0.525
test,0.55,0.45,0.22,275,271,188,1595,0.5036630036630036,0.593952483801296,0.5450941526263627,0.44
val,0.55,0.45,0.24,112,75,103,668,0.5989304812834224,0.5209302325581395,0.5572139303482586,0.525
test,0.55,0.45,0.24,266,262,197,1604,0.5037878787878788,0.5745140388768899,0.5368314833501514,0.44
val,0.55,0.45,0.26,111,70,104,673,0.6132596685082873,0.5162790697674419,0.5606060606060607,0.525
test,0.55,0.45,0.26,260,240,203,1626,0.52,0.5615550755939525,0.5399792315680166,0.42
val,0.55,0.45,0.28,106,65,109,678,0.6198830409356725,0.4930232558139535,0.5492227979274612,0.5
