condition,dataset,n,weighted_f1,macro_f1,frust_recall,anger_recall,sad_recall,neut_recall,satis_recall
combined,meld_test,2329,0.5340766987427503,0.3555046226846169,0.04,0.2324455205811138,0.35096153846153844,0.8049363057324841,0.31094527363184077
combined,synth_test,1928,0.5773412623921991,0.5445643014983987,0.7117437722419929,0.13140311804008908,0.8419618528610354,0.18548387096774194,0.9859154929577465
meld_only,meld_test,2329,0.6411911065829283,0.46766940455819767,0.16,0.5060532687651331,0.2932692307692308,0.76671974522293,0.6268656716417911
meld_only,synth_test,1928,0.45567400924748264,0.484832922719402,0.0035587188612099642,0.7082405345211581,0.4822888283378747,0.8387096774193549,0.9835680751173709
